     INDEX,YYYY/MM/DD,  H: M: S: MS,     ViVol,     VeVol,        Tt
1, 2008/07/29, 16:41:18:000,120,126,8.86
2, 2008/07/29, 16:41:21:560,151,141,6.44
3, 2008/07/29, 16:41:28:000,135,116,3.36
4, 2008/07/29, 16:41:31:360,1163,1076,5.86
5, 2008/07/29, 16:41:37:220,160,163,3.58
6, 2008/07/29, 16:41:40:800,121,135,6.3
7, 2008/07/29, 16:41:47:100,108,110,26.88
8, 2008/07/29, 16:42:13:980,103,104,43.66
9, 2008/07/29, 16:42:57:640,122,123,3.18
10, 2008/07/29, 16:43:00:820,116,122,11.1
11, 2008/07/29, 16:43:11:920,132,125,3.4
12, 2008/07/29, 16:43:15:320,148,148,3.26


