     INDEX,YYYY/MM/DD,  H: M: S: MS,     ViVol,     VeVol,        Tt
1, 2008/07/29, 16:39:01:000,152,117,10.74
2, 2008/07/29, 16:39:03:620,174,160,4.04
3, 2008/07/29, 16:39:07:660,115,121,3.9
4, 2008/07/29, 16:39:11:560,157,156,5.88
5, 2008/07/29, 16:39:17:440,144,140,3
6, 2008/07/29, 16:39:20:440,138,136,2.64
7, 2008/07/29, 16:39:23:080,121,128,2.74
8, 2008/07/29, 16:39:25:820,151,143,2.94
9, 2008/07/29, 16:39:28:760,109,115,2.68
10, 2008/07/29, 16:39:31:440,149,151,2.96
11, 2008/07/29, 16:39:34:400,148,143,3.04
12, 2008/07/29, 16:39:37:440,132,132,2.98
13, 2008/07/29, 16:39:40:420,125,129,2.86
14, 2008/07/29, 16:39:43:280,147,144,3.16
15, 2008/07/29, 16:39:46:440,135,133,5.56
16, 2008/07/29, 16:39:52:000,165,162,3.26
17, 2008/07/29, 16:39:55:260,155,148,3.5
18, 2008/07/29, 16:39:58:760,141,143,3.1
19, 2008/07/29, 16:40:01:860,132,133,3.2
20, 2008/07/29, 16:40:05:060,141,138,3.18
21, 2008/07/29, 16:40:08:240,130,131,3.24
22, 2008/07/29, 16:40:11:480,113,107,2.76
23, 2008/07/29, 16:40:14:240,133,141,3.02
24, 2008/07/29, 16:40:17:260,149,147,3.12
25, 2008/07/29, 16:40:20:380,142,143,3.3
26, 2008/07/29, 16:40:23:680,116,117,3.14
27, 2008/07/29, 16:40:26:820,125,122,3.18
28, 2008/07/29, 16:40:30:000,107,108,2.72
29, 2008/07/29, 16:40:32:720,119,119,2.94
30, 2008/07/29, 16:40:35:660,110,107,2.9
31, 2008/07/29, 16:40:38:560,122,123,3.04
32, 2008/07/29, 16:40:41:600,117,120,3
33, 2008/07/29, 16:40:44:600,122,121,6.08
34, 2008/07/29, 16:40:50:680,126,124,3.26
35, 2008/07/29, 16:40:53:940,122,123,5.8
36, 2008/07/29, 16:40:59:740,136,124,2.78


