     INDEX,YYYY/MM/DD,  H: M: S: MS,     ViVol,     VeVol,        Tt
1, 2008/07/29, 14:13:03:000,795,951,7.42
2, 2008/07/29, 14:13:10:000,960,944,8.8
3, 2008/07/29, 14:13:18:800,1167,1242,8.26
4, 2008/07/29, 14:13:27:060,1340,1496,9
5, 2008/07/29, 14:13:36:060,1482,1326,8.76
6, 2008/07/29, 14:13:44:820,1595,1672,7.6
7, 2008/07/29, 14:13:52:420,1402,1340,7.96
8, 2008/07/29, 14:14:00:380,1298,1242,9.48
9, 2008/07/29, 14:14:09:860,1103,1213,8.34
10, 2008/07/29, 14:14:18:200,1310,1229,9.48
11, 2008/07/29, 14:14:27:680,1275,1369,9.32
12, 2008/07/29, 14:14:37:000,1331,1295,10.3
13, 2008/07/29, 14:14:47:300,1119,1223,9.28
14, 2008/07/29, 14:14:56:580,1355,1240,10.54
15, 2008/07/29, 14:15:07:120,1409,1323,9.78
16, 2008/07/29, 14:15:16:900,1349,1434,10
17, 2008/07/29, 14:15:26:900,1377,1330,9.8
18, 2008/07/29, 14:15:36:700,1225,1428,10.04
19, 2008/07/29, 14:15:46:740,1342,1464,8.22
20, 2008/07/29, 14:15:54:960,1567,1660,10.36
21, 2008/07/29, 14:16:05:320,1427,1362,11.06
22, 2008/07/29, 14:16:16:380,1743,1760,10.32
23, 2008/07/29, 14:16:26:700,1310,1399,8.62
24, 2008/07/29, 14:16:35:320,1392,1006,9.72
25, 2008/07/29, 14:16:45:040,1043,1424,9.06
26, 2008/07/29, 14:16:54:100,1486,1502,10.18
27, 2008/07/29, 14:17:04:280,1519,1479,10.18
28, 2008/07/29, 14:17:14:460,1533,1418,11.76
29, 2008/07/29, 14:17:26:220,996,746,6.32
30, 2008/07/29, 14:17:32:540,1173,1522,8.74
31, 2008/07/29, 14:17:41:280,1086,1037,7.84
32, 2008/07/29, 14:17:49:120,1438,1361,9.38
33, 2008/07/29, 14:17:58:500,1354,997,8


