     INDEX,YYYY/MM/DD,  H: M: S: MS,     ViVol,     VeVol,        Tt
1, 2008/07/29, 14:27:40:000,538,999,5.58
2, 2008/07/29, 14:27:41:860,1489,1129,7.16
3, 2008/07/29, 14:27:49:020,1111,1076,6.82
4, 2008/07/29, 14:27:55:840,1065,1069,7.02
5, 2008/07/29, 14:28:02:860,1028,1173,6.96
6, 2008/07/29, 14:28:09:820,975,952,6.96
7, 2008/07/29, 14:28:16:780,965,1066,7.1
8, 2008/07/29, 14:28:23:880,1211,1076,7.2
9, 2008/07/29, 14:28:31:080,1202,958,6.88
10, 2008/07/29, 14:28:37:960,1041,1054,7.1
11, 2008/07/29, 14:28:45:060,1066,1045,6.92
12, 2008/07/29, 14:28:51:980,1103,1110,7.18
13, 2008/07/29, 14:28:59:160,1158,1101,7.1
14, 2008/07/29, 14:29:06:260,963,950,7.12
15, 2008/07/29, 14:29:13:380,1038,940,6.82
16, 2008/07/29, 14:29:20:200,914,1035,7.04
17, 2008/07/29, 14:29:27:240,990,1073,6.96
18, 2008/07/29, 14:29:34:200,1353,1028,7.08
19, 2008/07/29, 14:29:41:280,229,201,2.02
20, 2008/07/29, 14:29:43:300,104,116,2.76


